precision_d,recall_d,fscore_d,precision_p,recall_p,fscore_p,precision_h,recall_h,fscore_h,precision_s,recall_s,fscore_s,precision_r,recall_r,fscore_r,execution,kernel,c,gamma,characteristic type,characteristic,articulation point,window,label position
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3024,rbf,250,0.25,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3025,rbf,250,0.5,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3026,rbf,250,1,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3027,rbf,250,2,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3028,rbf,250,4,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3029,rbf,250,8,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3030,rbf,250,16,escalar,aceleracao,rh,80,meio
93.725,71.343,0.81,23.256,12.821,0.165,0.0,0.0,0.0,51.111,93.765,0.662,88.889,25.397,0.395,3031,rbf,300,0.03125,escalar,aceleracao,rh,80,meio
100.0,59.701,0.748,31.25,12.821,0.182,0.0,0.0,0.0,47.703,97.122,0.64,0.0,0.0,0.0,3032,rbf,300,0.0625,escalar,aceleracao,rh,80,meio
100.0,5.672,0.107,50.0,1.282,0.025,0.0,0.0,0.0,39.245,99.76,0.563,0.0,0.0,0.0,3033,rbf,300,0.125,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3034,rbf,300,0.25,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3035,rbf,300,0.5,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3036,rbf,300,1,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3037,rbf,300,2,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3038,rbf,300,4,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3039,rbf,300,8,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040,rbf,300,16,escalar,aceleracao,rh,80,meio
93.725,71.343,0.81,23.256,12.821,0.165,0.0,0.0,0.0,51.111,93.765,0.662,88.889,25.397,0.395,3041,rbf,350,0.03125,escalar,aceleracao,rh,80,meio
100.0,59.701,0.748,31.25,12.821,0.182,0.0,0.0,0.0,47.703,97.122,0.64,0.0,0.0,0.0,3042,rbf,350,0.0625,escalar,aceleracao,rh,80,meio
100.0,5.672,0.107,50.0,1.282,0.025,0.0,0.0,0.0,39.245,99.76,0.563,0.0,0.0,0.0,3043,rbf,350,0.125,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3044,rbf,350,0.25,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3045,rbf,350,0.5,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3046,rbf,350,1,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3047,rbf,350,2,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3048,rbf,350,4,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3049,rbf,350,8,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050,rbf,350,16,escalar,aceleracao,rh,80,meio
93.725,71.343,0.81,23.256,12.821,0.165,0.0,0.0,0.0,51.111,93.765,0.662,88.889,25.397,0.395,3051,rbf,400,0.03125,escalar,aceleracao,rh,80,meio
100.0,59.701,0.748,31.25,12.821,0.182,0.0,0.0,0.0,47.703,97.122,0.64,0.0,0.0,0.0,3052,rbf,400,0.0625,escalar,aceleracao,rh,80,meio
100.0,5.672,0.107,50.0,1.282,0.025,0.0,0.0,0.0,39.245,99.76,0.563,0.0,0.0,0.0,3053,rbf,400,0.125,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3054,rbf,400,0.25,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3055,rbf,400,0.5,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3056,rbf,400,1,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3057,rbf,400,2,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3058,rbf,400,4,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3059,rbf,400,8,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3060,rbf,400,16,escalar,aceleracao,rh,80,meio
93.725,71.343,0.81,23.256,12.821,0.165,0.0,0.0,0.0,51.111,93.765,0.662,88.889,25.397,0.395,3061,rbf,450,0.03125,escalar,aceleracao,rh,80,meio
100.0,59.701,0.748,31.25,12.821,0.182,0.0,0.0,0.0,47.703,97.122,0.64,0.0,0.0,0.0,3062,rbf,450,0.0625,escalar,aceleracao,rh,80,meio
100.0,5.672,0.107,50.0,1.282,0.025,0.0,0.0,0.0,39.245,99.76,0.563,0.0,0.0,0.0,3063,rbf,450,0.125,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3064,rbf,450,0.25,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3065,rbf,450,0.5,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3066,rbf,450,1,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3067,rbf,450,2,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3068,rbf,450,4,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3069,rbf,450,8,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3070,rbf,450,16,escalar,aceleracao,rh,80,meio
93.725,71.343,0.81,23.256,12.821,0.165,0.0,0.0,0.0,51.111,93.765,0.662,88.889,25.397,0.395,3071,rbf,500,0.03125,escalar,aceleracao,rh,80,meio
100.0,59.701,0.748,31.25,12.821,0.182,0.0,0.0,0.0,47.703,97.122,0.64,0.0,0.0,0.0,3072,rbf,500,0.0625,escalar,aceleracao,rh,80,meio
100.0,5.672,0.107,50.0,1.282,0.025,0.0,0.0,0.0,39.245,99.76,0.563,0.0,0.0,0.0,3073,rbf,500,0.125,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3074,rbf,500,0.25,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,100.0,1.282,0.025,0.0,0.0,0.0,38.611,100.0,0.557,0.0,0.0,0.0,3075,rbf,500,0.5,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3076,rbf,500,1,escalar,aceleracao,rh,80,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.575,100.0,0.557,0.0,0.0,0.0,3077,rbf,500,2,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3078,rbf,500,4,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079,rbf,500,8,escalar,aceleracao,rh,80,meio
30.99,100.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3080,rbf,500,16,escalar,aceleracao,rh,80,meio
95.536,64.848,0.773,34.375,13.924,0.198,0.0,0.0,0.0,50.312,96.643,0.662,85.0,26.984,0.41,3081,rbf,1,0.03125,escalar,aceleracao,rh,90,meio
100.0,44.242,0.613,39.286,13.924,0.206,0.0,0.0,0.0,45.515,98.561,0.623,0.0,0.0,0.0,3082,rbf,1,0.0625,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,2.532,0.049,0.0,0.0,0.0,38.791,100.0,0.559,0.0,0.0,0.0,3083,rbf,1,0.125,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3084,rbf,1,0.25,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3085,rbf,1,0.5,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3086,rbf,1,1,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3087,rbf,1,2,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088,rbf,1,4,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3089,rbf,1,8,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3090,rbf,1,16,escalar,aceleracao,rh,90,meio
95.536,64.848,0.773,34.375,13.924,0.198,0.0,0.0,0.0,49.937,95.204,0.655,85.0,26.984,0.41,3091,rbf,50,0.03125,escalar,aceleracao,rh,90,meio
100.0,44.545,0.616,39.286,13.924,0.206,0.0,0.0,0.0,45.565,98.561,0.623,0.0,0.0,0.0,3092,rbf,50,0.0625,escalar,aceleracao,rh,90,meio
100.0,0.909,0.018,100.0,2.532,0.049,0.0,0.0,0.0,38.899,100.0,0.56,0.0,0.0,0.0,3093,rbf,50,0.125,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3094,rbf,50,0.25,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3095,rbf,50,0.5,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3096,rbf,50,1,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3097,rbf,50,2,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3098,rbf,50,4,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099,rbf,50,8,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100,rbf,50,16,escalar,aceleracao,rh,90,meio
95.536,64.848,0.773,34.375,13.924,0.198,0.0,0.0,0.0,49.937,95.204,0.655,85.0,26.984,0.41,3101,rbf,100,0.03125,escalar,aceleracao,rh,90,meio
100.0,44.545,0.616,39.286,13.924,0.206,0.0,0.0,0.0,45.565,98.561,0.623,0.0,0.0,0.0,3102,rbf,100,0.0625,escalar,aceleracao,rh,90,meio
100.0,0.909,0.018,100.0,2.532,0.049,0.0,0.0,0.0,38.899,100.0,0.56,0.0,0.0,0.0,3103,rbf,100,0.125,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3104,rbf,100,0.25,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3105,rbf,100,0.5,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3106,rbf,100,1,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3107,rbf,100,2,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3108,rbf,100,4,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3109,rbf,100,8,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110,rbf,100,16,escalar,aceleracao,rh,90,meio
95.536,64.848,0.773,34.375,13.924,0.198,0.0,0.0,0.0,49.937,95.204,0.655,85.0,26.984,0.41,3111,rbf,150,0.03125,escalar,aceleracao,rh,90,meio
100.0,44.545,0.616,39.286,13.924,0.206,0.0,0.0,0.0,45.565,98.561,0.623,0.0,0.0,0.0,3112,rbf,150,0.0625,escalar,aceleracao,rh,90,meio
100.0,0.909,0.018,100.0,2.532,0.049,0.0,0.0,0.0,38.899,100.0,0.56,0.0,0.0,0.0,3113,rbf,150,0.125,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3114,rbf,150,0.25,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3115,rbf,150,0.5,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3116,rbf,150,1,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3117,rbf,150,2,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3118,rbf,150,4,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3119,rbf,150,8,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3120,rbf,150,16,escalar,aceleracao,rh,90,meio
95.536,64.848,0.773,34.375,13.924,0.198,0.0,0.0,0.0,49.937,95.204,0.655,85.0,26.984,0.41,3121,rbf,200,0.03125,escalar,aceleracao,rh,90,meio
100.0,44.545,0.616,39.286,13.924,0.206,0.0,0.0,0.0,45.565,98.561,0.623,0.0,0.0,0.0,3122,rbf,200,0.0625,escalar,aceleracao,rh,90,meio
100.0,0.909,0.018,100.0,2.532,0.049,0.0,0.0,0.0,38.899,100.0,0.56,0.0,0.0,0.0,3123,rbf,200,0.125,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3124,rbf,200,0.25,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3125,rbf,200,0.5,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3126,rbf,200,1,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3127,rbf,200,2,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3128,rbf,200,4,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3129,rbf,200,8,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3130,rbf,200,16,escalar,aceleracao,rh,90,meio
95.536,64.848,0.773,34.375,13.924,0.198,0.0,0.0,0.0,49.937,95.204,0.655,85.0,26.984,0.41,3131,rbf,250,0.03125,escalar,aceleracao,rh,90,meio
100.0,44.545,0.616,39.286,13.924,0.206,0.0,0.0,0.0,45.565,98.561,0.623,0.0,0.0,0.0,3132,rbf,250,0.0625,escalar,aceleracao,rh,90,meio
100.0,0.909,0.018,100.0,2.532,0.049,0.0,0.0,0.0,38.899,100.0,0.56,0.0,0.0,0.0,3133,rbf,250,0.125,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3134,rbf,250,0.25,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3135,rbf,250,0.5,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3136,rbf,250,1,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3137,rbf,250,2,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3138,rbf,250,4,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3139,rbf,250,8,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3140,rbf,250,16,escalar,aceleracao,rh,90,meio
95.536,64.848,0.773,34.375,13.924,0.198,0.0,0.0,0.0,49.937,95.204,0.655,85.0,26.984,0.41,3141,rbf,300,0.03125,escalar,aceleracao,rh,90,meio
100.0,44.545,0.616,39.286,13.924,0.206,0.0,0.0,0.0,45.565,98.561,0.623,0.0,0.0,0.0,3142,rbf,300,0.0625,escalar,aceleracao,rh,90,meio
100.0,0.909,0.018,100.0,2.532,0.049,0.0,0.0,0.0,38.899,100.0,0.56,0.0,0.0,0.0,3143,rbf,300,0.125,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3144,rbf,300,0.25,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3145,rbf,300,0.5,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3146,rbf,300,1,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3147,rbf,300,2,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3148,rbf,300,4,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3149,rbf,300,8,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3150,rbf,300,16,escalar,aceleracao,rh,90,meio
95.536,64.848,0.773,34.375,13.924,0.198,0.0,0.0,0.0,49.937,95.204,0.655,85.0,26.984,0.41,3151,rbf,350,0.03125,escalar,aceleracao,rh,90,meio
100.0,44.545,0.616,39.286,13.924,0.206,0.0,0.0,0.0,45.565,98.561,0.623,0.0,0.0,0.0,3152,rbf,350,0.0625,escalar,aceleracao,rh,90,meio
100.0,0.909,0.018,100.0,2.532,0.049,0.0,0.0,0.0,38.899,100.0,0.56,0.0,0.0,0.0,3153,rbf,350,0.125,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3154,rbf,350,0.25,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3155,rbf,350,0.5,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3156,rbf,350,1,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3157,rbf,350,2,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158,rbf,350,4,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3159,rbf,350,8,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3160,rbf,350,16,escalar,aceleracao,rh,90,meio
95.536,64.848,0.773,34.375,13.924,0.198,0.0,0.0,0.0,49.937,95.204,0.655,85.0,26.984,0.41,3161,rbf,400,0.03125,escalar,aceleracao,rh,90,meio
100.0,44.545,0.616,39.286,13.924,0.206,0.0,0.0,0.0,45.565,98.561,0.623,0.0,0.0,0.0,3162,rbf,400,0.0625,escalar,aceleracao,rh,90,meio
100.0,0.909,0.018,100.0,2.532,0.049,0.0,0.0,0.0,38.899,100.0,0.56,0.0,0.0,0.0,3163,rbf,400,0.125,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3164,rbf,400,0.25,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3165,rbf,400,0.5,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3166,rbf,400,1,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3167,rbf,400,2,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168,rbf,400,4,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3169,rbf,400,8,escalar,aceleracao,rh,90,meio
30.641,100.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3170,rbf,400,16,escalar,aceleracao,rh,90,meio
95.536,64.848,0.773,34.375,13.924,0.198,0.0,0.0,0.0,49.937,95.204,0.655,85.0,26.984,0.41,3171,rbf,450,0.03125,escalar,aceleracao,rh,90,meio
100.0,44.545,0.616,39.286,13.924,0.206,0.0,0.0,0.0,45.565,98.561,0.623,0.0,0.0,0.0,3172,rbf,450,0.0625,escalar,aceleracao,rh,90,meio
100.0,0.909,0.018,100.0,2.532,0.049,0.0,0.0,0.0,38.899,100.0,0.56,0.0,0.0,0.0,3173,rbf,450,0.125,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3174,rbf,450,0.25,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,100.0,1.266,0.025,0.0,0.0,0.0,38.755,100.0,0.559,0.0,0.0,0.0,3175,rbf,450,0.5,escalar,aceleracao,rh,90,meio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.719,100.0,0.558,0.0,0.0,0.0,3176,rbf,450,1,escalar,aceleracao,rh,90,meio
